alpha        CL        CD        
     66.00    0.8995    1.3436
     67.00    0.8793    1.3647
     68.00    0.8580    1.3850
     69.00    0.8359    1.4047
     70.00    0.8128    1.4236
     71.00    0.7887    1.4417
     72.00    0.7637    1.4591
     73.00    0.7379    1.4756
     74.00    0.7112    1.4913
     75.00    0.6836    1.5061
     76.00    0.6553    1.5201
     77.00    0.6261    1.5332
     78.00    0.5962    1.5454
     79.00    0.5656    1.5567
     80.00    0.5343    1.5671
     81.00    0.5023    1.5765
     82.00    0.4697    1.5850
     83.00    0.4365    1.5925
     84.00    0.4028    1.5991
     85.00    0.3686    1.6046
     86.00    0.3339    1.6092
     87.00    0.2988    1.6128
     88.00    0.2633    1.6155
     89.00    0.2275    1.6171
     90.00    0.1914    1.6177
     91.00    0.1551    1.6173
     92.00    0.1185    1.6159
     93.00    0.0819    1.6136
     94.00    0.0451    1.6102
     95.00    0.0083    1.6059
     96.00   -0.0285    1.6006
     97.00   -0.0652    1.5943
     98.00   -0.1018    1.5870
     99.00   -0.1383    1.5788
    100.00   -0.1746    1.5696
    101.00   -0.2106    1.5595
    102.00   -0.2463    1.5485
    103.00   -0.2816    1.5366
    104.00   -0.3165    1.5237
    105.00   -0.3510    1.5100
    106.00   -0.3850    1.4955
    107.00   -0.4184    1.4801
    108.00   -0.4512    1.4639
    109.00   -0.4967    1.4468
    110.00   -0.5278    1.4290
    111.00   -0.5582    1.4105
    112.00   -0.5878    1.3912
    113.00   -0.6167    1.3712
    114.00   -0.6446    1.3505
    115.00   -0.6716    1.3291
    116.00   -0.6977    1.3071
    117.00   -0.7228    1.2845
    118.00   -0.7469    1.2614
    119.00   -0.7699    1.2376
    120.00   -0.7918    1.2134
    121.00   -0.8126    1.1887
    122.00   -0.8323    1.1635
    123.00   -0.8507    1.1378
    124.00   -0.8680    1.1118
    125.00   -0.8840    1.0854
    126.00   -0.8988    1.0587
    127.00   -0.9123    1.0317
    128.00   -0.9245    1.0044
    129.00   -0.9354    0.9769
    130.00   -0.9450    0.9492
    131.00   -0.9532    0.9213
    132.00   -0.9601    0.8933
    133.00   -0.9657    0.8652
    134.00   -0.9699    0.8371
    135.00   -0.9728    0.8089
    136.00   -0.9743    0.7807
    137.00   -0.9744    0.7525
    138.00   -0.9733    0.7245
    139.00   -0.9707    0.6965
    140.00   -0.9669    0.6687
    141.00   -0.9618    0.6411
    142.00   -0.9554    0.6137
    143.00   -0.9477    0.5865
    144.00   -0.9387    0.5597
    145.00   -0.9285    0.5331
    146.00   -0.9172    0.5069
    147.00   -0.9046    0.4810
    148.00   -0.8909    0.4556
    149.00   -0.8762    0.4306
    150.00   -0.8604    0.4060
    151.00   -0.8435    0.3820
    152.00   -0.8258    0.3585
    153.00   -0.8071    0.3355
    154.00   -0.7876    0.3132
    155.00   -0.7673    0.2914
    156.00   -0.7463    0.2703
    157.00   -0.7248    0.2498
    158.00   -0.7028    0.2301
    159.00   -0.6806    0.2110
    160.00   -0.6581    0.1927
    161.00   -0.6358    0.1751
    162.00   -0.6139    0.1583
    163.00   -0.5928    0.1423
    164.00   -0.5730    0.1271
    165.00   -0.5553    0.1128
    166.00   -0.5407    0.0992
    167.00   -0.5306    0.0866
    168.00   -0.5268    0.0748
    169.00   -0.5316    0.0640
